,ID,compound_id,Smiles,pKi,e0,e1,e2,e3
239,240,CHEMBL459350,CN(CCC=C1c2ccccc2CCc2ccccc21)Cc1ccc(OCCCN2CCCCC2)cc1,7.102372909,0.09508560578504757,-0.060986045451211585,-0.01160394102750406,-0.003006801977759004
240,241,CHEMBL476109,O=C(CCCN1C2CCC1CN(c1ccc(Cl)cc1)CC2)c1ccc(F)cc1,5.993962045,0.10216129119961763,-0.09265483818391848,0.1265864043864012,-0.00546904866897225
241,242,CHEMBL2171032,CS(=O)(=O)c1cccc(C(=O)N2CC[C@@H](N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)[C@H](C(=O)O)C2)c1,6.699991797,0.2039544666425671,0.03273132704245237,-0.050022596015083624,-0.11296406664568888
242,243,CHEMBL3217984,CN1CCC2C(C1)c1cccc3c1N2c1ccccc1CS3,8.500038134,-0.20841788442584575,-0.08112205669506521,-0.07616285119930391,-0.05542471464867347
243,244,CHEMBL2171034,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.299988938,0.20788203633800426,0.02433107139945098,-0.03910877416858503,-0.16713978621062664
244,245,CHEMBL240187,CS(=O)(=O)c1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)cc1,5.700000504,0.17603976724344245,-0.0794594968709738,-0.03506925888025786,0.028850456220072148
245,246,CHEMBL2208426,CS(=O)(=O)c1ccc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)s1,7.0,0.1590854305386927,0.02586069148092363,-0.038629589541020644,-0.07977641850756571
246,247,CHEMBL3753849,CN1CCN(c2nc(NCc3ccccc3)cc(-c3ccccc3)n2)CC1,5.599999383,-0.11338313459209122,0.07048204209515123,0.10735373321915553,0.02360077105876818
247,248,CHEMBL571390,Cc1ccc(CN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.795880017,-0.03353501219365706,-0.09611039866211651,0.11417828631778497,-0.09933246498850568
248,249,CHEMBL105483,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC)cc3)cc2)CC1,6.450004148,0.14604843195150385,-0.142345822281751,-0.030715846619494707,0.09023027275299969
249,250,CHEMBL404404,Cc1ccc(-c2nnc(SCCCN3CCc4ccc5oc(C(F)(F)F)nc5c4CC3)n2C)cn1,5.700000504,0.13208768492100473,0.22319541610438418,-0.027303668281063426,0.0905066505491252
250,251,CHEMBL305313,CCOC(=O)N1CCN(CCCOc2ccc(C(=O)C=C(C)C)cc2)CC1,6.450004148,0.16154674008681585,-0.17424246461635165,-0.0425593903389383,0.13743533251882545
251,252,CHEMBL62066,CCOC(=O)N1CCN(CCCOc2ccc(C(=O)CC)cc2)CC1,5.779999191,0.1716494597862096,-0.2138029968182269,-0.00267564293979461,0.2124157441757481
252,253,CHEMBL588119,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,5.6062669,0.051806462170573046,-0.03926005300469027,-0.026704114977190333,0.01923969757754773
253,254,CHEMBL244946,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)nn6C)cc5CC4)n3C)cccc2n1,6.099999035,0.15199411953028255,0.26184273386800816,-0.07439487472506347,0.045358990863578946
254,255,CHEMBL102331,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)c3cccnc3)C2)cc1,5.13076828,0.11934613988144746,-0.07289137456735396,-0.007590056397882815,0.02392371447849134
255,256,CHEMBL1087367_NBI72751,COc1ccc(Cn2c(N3CC[C@@H](N(C)C)C3)nc3ccccc32)cc1,8.075720714,-0.1500707055735805,0.08579468593955303,0.10235046945536884,-0.051981625238104866
256,257,CHEMBL2208418,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc1ccc2ncsc2c1,6.499996932,0.15717199443963278,0.025826060444078643,0.014446988102356974,-0.06189431289439633
257,258,CHEMBL4173176,C[C@H](CNc1cncc(Cl)n1)N1CCN(c2ccccc2)CC1,5.941573976,-0.027528867147810426,-0.005746985161607491,0.05600565322337392,0.0603754912519597
